name,surname,birthday,university,,,,,,,,,,,,,,,,,,,,,,
Ishaan,Hodges,1995-05-25,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Brody,Carroll,1995-07-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Holly,Mccray,1995-09-07,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Delilah,Lynch,1994-03-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Rayna,Roman,1995-01-23,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Payten,Wilkins,1994-09-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Amari,Owen,1994-12-12,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Dennis,Warren,1996-10-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Paityn,Wilcox,1996-12-16,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jaydin,Whitehead,1992-07-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Rowen,Hurley,1992-07-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Emely,Mcgowan,1995-01-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Alexis,Shaffer,1997-11-12,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jaylyn,Delacruz,1996-07-29,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kaelynn,Garza,1996-05-10,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Leanna,Fernandez,1992-01-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Elena,Vaughn,1996-06-06,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Gia,Benjamin,1995-01-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Natalie,Parsons,1992-01-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Vivienne,Jennings,1994-07-12,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kayden,Smith,1998-12-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lylah,Wilder,1995-03-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jaxson,Sloan,1993-02-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Roy,Grimes,1993-08-12,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Bradyn,Jacobs,1993-11-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Abdiel,Holden,1997-03-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cecelia,Mcknight,1996-04-24,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lucy,Foster,1995-07-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Bradley,Golden,1998-01-29,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jordynn,Wilcox,1998-12-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jaylynn,Sawyer,1995-11-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Franco,Baker,1992-03-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Zaiden,Frye,1996-08-09,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kason,Vaughan,1994-11-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kaya,Jacobs,1996-06-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kolby,Mckenzie,1993-04-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Aydan,Phelps,1995-01-07,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Salvador,Valdez,1992-05-31,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Alisson,Livingston,1998-07-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Evelynn,Gay,1994-06-24,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Haven,Fulton,1993-09-18,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Noah,Wade,1994-01-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Bridger,Alvarado,1998-09-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Gloria,Maldonado,1996-12-07,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Layton,Sherman,1994-02-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Malia,Harper,1994-09-16,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Desmond,Williams,1992-08-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jamison,Martin,1994-11-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Anya,Stuart,1993-08-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Alden,Franco,1993-02-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Draven,Workman,1993-03-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Armani,Deleon,1993-10-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Sean,Cannon,1993-04-12,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Paige,Owen,1992-09-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Madelyn,Jacobs,1994-12-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kasen,Hyde,1992-04-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Tristian,Ballard,1998-12-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Casey,Daugherty,1998-01-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Stacy,Stevens,1998-09-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Ishaan,Robertson,1992-08-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Abbey,Todd,1995-11-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Mollie,Craig,1998-03-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Robert,Ball,1996-01-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Rey,Barker,1995-09-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Brynlee,Jarvis,1995-06-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Fiona,Duncan,1996-11-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Edgar,Gibson,1995-11-23,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Scarlet,Patterson,1998-12-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lina,Mays,1997-04-13,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Annie,Cantu,1997-06-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lylah,Carney,1994-07-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Paisley,Owens,1998-09-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Maxx,Craft,1998-03-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Camden,Short,1995-10-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Joe,Morgan,1993-04-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lorenzo,Kirk,1993-06-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Tyler,Lara,1998-06-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Damon,Leon,1992-07-23,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Coen,Oneill,1998-12-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Joyce,Cortez,1995-01-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Darwin,Davenport,1992-06-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Ayleen,Elliott,1996-04-06,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Yosef,Atkins,1996-07-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cooper,Church,1997-12-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Andres,Yang,1994-12-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kendra,Dalton,1993-10-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Clara,Suarez,1997-03-18,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Harley,Conley,1992-07-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Samir,Hansen,1993-07-24,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Leo,Kerr,1993-09-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
John,Faulkner,1997-02-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Matilda,Baird,1993-11-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cristian,Mcmahon,1993-04-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Deborah,Williamson,1998-02-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jayde,Church,1995-08-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Zayden,Leach,1996-10-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lainey,Maddox,1994-03-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lucille,Harrington,1998-05-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Bristol,Cox,1998-01-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Case,Booth,1995-10-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Alvin,Dean,1993-06-18,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Keenan,Salazar,1992-02-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kamari,Ferrell,1992-10-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Rory,Coleman,1994-03-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kimber,Hampton,1996-10-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Zander,Becker,1994-07-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Tatum,Avila,1993-07-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Messiah,Reeves,1996-04-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Gilbert,Reynolds,1995-02-23,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Pierre,Crane,1995-08-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Audrianna,Knight,1995-10-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Eliseo,Jordan,1995-08-09,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Penelope,Pate,1992-06-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kendal,Rogers,1998-10-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jackson,Gilliam,1995-01-24,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jasmin,Blackburn,1993-10-12,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Aleena,Rodriguez,1994-12-24,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jermaine,Schultz,1995-05-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Julie,Weber,1995-10-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kylah,Oneal,1996-01-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Zion,Puckett,1995-02-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kamden,Lynn,1995-09-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jaden,Blevins,1994-11-09,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jay,Hodge,1997-07-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kendal,Mcfadden,1992-11-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Mallory,Branch,1994-12-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Saniyah,Dickerson,1993-02-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
